FOR DEVELOPERS;FOR DEVELOPERS;PASSPORT;PASSPORT;PASSPORT;PROFICIENCY LEVEL;DEFINITION;DEFINITION;DEFINITION;CORPUS;CORPUS;CORPUS;CORPUS;CORPUS;FORM;SYNTAX;SYNTAX;SEMANTICS;SEMANTICS;SEMANTICS;SEMANTICS;SEMANTICS;SEMANTICS;SEMANTIC ROLE;INTONATION;USAGE STYLE;ANCHOR WORDS;COMMON FILLERS;COMMENT
Comments;Year;ID Number;Name;Illustration ;CEFR Level;Definition in Russian;Definition in English;Definition in Norwegian;Example 1;Example 2;Example 3;Example 4;Example 5;;Syntactic function of construction;Category of anchor word;SemType1;SemSubType1;SemType2;SemSubType2;SemType3;SemSubType3;;Communicative type (only for Clause and Biclausal);Usage label;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Explanations:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D-F display in list;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D-N display as entries of full constructions;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filters:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Form: O;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Syntax: P-Q;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Semantics: R-W;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Semantic Role: X;;;;;;;;;;;;;;;;;;;;;;;;;;;
