Lemma,NPx,Refl,AbsTotal
CD,0,17,2246
CD-skearru,0,11,298
Ipmil,0,5,1122
Sámediggi,0,14,20778
Sápmi,0,19,22105
advokáhta,0,13,742
ahki,7,13,671
alkohola,2,3,660
almmái,7,8,2403
arkeologa,0,5,161
artihkal,2,3,588
artista,1,8,1496
astoáigi,9,9,311
atnu,0,54,989
attáldat,15,49,302
aviisa,3,16,4117
bagadalli,0,8,481
bahta,4,5,168
ballu,3,7,1013
bargi,2,81,4891
bargoaddi,0,14,456
bargodilli,2,9,336
bargoeallin,1,12,192
bargoguoibmi,3,4,57
bargonákca,3,3,80
bargosadji,15,36,1691
bargoskibir,6,10,162
bargoustit,0,14,174
bargoveahka,4,4,214
bargovuohki,2,29,736
bargoáigi,0,5,162
bargu,389,590,18462
barta,12,9,1164
beaivi,12,20,22760
bealdu,3,2,73
beallalaš,0,5,17
beallelaš,2,34,124
bealli,1,26,4355
beallji,2,3,379
beana,16,50,2115
bearaš,44,128,2967
beassi,3,6,290
beavdi,1,7,802
bellodat,9,138,4179
bellodatustit,2,27,220
beroštupmi,4,65,3896
biebmu,4,3,1527
biedju,4,1,324
bierggas,3,15,543
bihttá,11,20,2180
biigá,13,6,272
biila,21,65,3712
billistit,0,8,1364
biras,9,97,3133
birgejupmi,2,12,403
birgenláhki,1,7,166
bisma,0,10,884
bivdoguovlu,1,8,303
bivdojoavku,2,4,347
bivdu,2,8,2150
bivnnutvuohta,1,8,32
bivttas,3,31,1638
blogga,2,8,73
bláđđi,2,5,605
boahttevuohta,4,2,251
boahtteáigi,12,50,3861
boaris,2,7,6499
boasttuvuohta,1,12,576
boazodoallodieđáhus,3,3,92
boazodoallu,2,18,9094
boazolohku,3,10,1746
boazu,105,76,8293
boađus,0,8,3608
bohcci,3,3,94
bohccobiergu,1,4,1028
breava,4,2,78
buolva,0,6,1046
buorrevuohta,1,4,69
buorri,1,9,2059
bursa,3,23,139
buvda,3,11,704
buvtta,3,31,562
buvttadeapmi,0,10,616
buđaldeapmi,0,5,20
bušeahtta,9,37,1458
bušeahttaevttohus,2,4,64
bábir,3,8,779
báhppa,2,6,1755
báidi,2,3,272
báikegoddi,0,5,466
báiki,11,30,5919
bálggis,1,15,512
bálkkašupmi,3,3,1901
bálká,7,13,1338
bálvalus,8,13,1365
bálvá,0,6,149
bárdni,121,68,3304
bártnáš,14,4,436
bázahus,2,4,395
báŋku,3,12,514
cealkámuš,35,47,1527
dahku,19,35,876
deaddu,0,6,934
dearvvašvuohta,0,46,1836
demokratiija,1,4,416
diehtemeahttunvuohta,2,3,153
diehtojuohkin,1,4,892
diehtu,17,43,11147
dienas,1,11,1207
dievasčoahkkin,3,2,1675
dieđáhus,4,5,684
dihtor,0,17,831
dikta,18,28,738
diktagirji,5,11,179
dilli,21,118,9713
dilálašvuohta,1,7,1105
diŋga,5,7,716
doaibma,114,255,7486
doaibmaplána,1,5,417
doaibmaruhta,2,3,50
doalloovttadat,0,7,204
doallu,11,27,906
doalut,8,17,3638
doarjja,0,12,4740
doavttir,1,4,1553
doavttirdoaibma,0,5,8
dolgevuogga,0,7,143
dovdamuš,5,2,54
dovdomearka,0,5,314
dovdu,33,69,1687
duodji,60,62,2595
duogáš,1,103,1621
duohtavuohta,1,5,1175
duopmu,20,2,1115
duostilvuohta,3,2,120
duottar,11,2,1837
duođaštus,1,6,922
dutkamuš,15,3,323
dutkan,6,21,1905
dutkanbargu,12,9,124
dutkkus,2,3,89
dáhpi,18,12,561
dáhttu,2,30,1284
dáidda,28,111,2136
dáiddalašvuohta,3,2,24
dáiddačájáhus,2,3,351
dáidu,21,16,188
dállodoallu,0,6,130
dállu,10,38,2070
dálveguohtuneana,0,6,50
dálveorohat,0,16,520
dánsa,0,10,351
dárbu,13,40,4712
dássi,1,7,3338
dávda,4,7,878
dávvir,1,7,701
dávvirvuorká,1,4,97
e-poasta,1,4,557
eadni,217,60,3362
eahki,3,3,54
eaiggát,2,4,1749
eaktu,5,29,2034
ealga,2,3,1736
eallenahki,3,4,101
ealli,3,20,2537
eallin,44,276,4184
eallinahki,14,13,168
eallindilli,1,5,114
eallinláibi,1,9,99
eallinoaidnu,0,7,94
eallinvuohki,8,9,415
eallinvuođđu,3,2,51
eallu,78,27,1993
ealáhus,10,59,4724
eamit,66,54,1825
eamiálbmot,0,11,2260
eammi,5,0,16
eana,20,125,4819
eanu,5,7,232
earri,4,11,429
eatnigiella,48,106,515
eiseváldi,0,10,5014
ekonomiija,1,9,789
erenoamášvuohta,0,11,172
evttohas,2,10,1060
evttohus,26,76,3896
fanas,4,19,2170
fantasiija,0,15,101
favorihtta,0,12,95
fearán,1,4,328
festivála,0,13,4842
fierbmi,3,3,492
fierpmádat,1,4,547
fievru,2,8,395
filbma,15,35,5161
fitnodat,8,108,5366
friddjaáigi,0,9,109
fuolki,34,40,958
fuomášupmi,0,8,383
fylka,1,18,2680
fáddá,2,8,1988
fága,3,7,1083
fágasuorgi,0,10,173
fálaldat,15,25,3658
fápmu,36,46,2124
fárru,13,2,94
fástadoavttir,0,5,41
fáttarmánná,0,7,17
gahpir,4,2,239
gapmu,6,0,55
gaskavuohta,2,4,297
gazza,6,5,118
gažaldat,2,9,2587
geahčči,0,5,1626
geaidnu,0,15,2027
geasseorohat,2,15,442
geasuheaddjivuohta,1,7,20
geatnegasvuohta,16,26,757
geavaheaddji,0,7,919
geavaheapmi,2,3,1464
geavahus,0,5,215
gelbbolašvuohta,2,30,1625
gieddi,3,6,411
giehta,29,17,1402
giehtačálus,1,6,150
gielda,4,64,16377
giella,133,329,5525
giitosárdni,4,1,13
gilli,2,33,1590
gilvaleaddji,0,16,748
gilvu,1,8,5682
girji,85,77,7166
girku,1,6,5463
givrodat,0,10,94
goahti,4,3,665
goansta,4,7,277
gollu,6,11,1068
gorut,4,12,499
govva,32,77,10249
gudni,1,4,974
gulaskuddan,2,11,827
gulaskuddancealkámuš,9,4,79
guldaleaddji,0,7,685
gullevašvuohta,2,16,479
guoddu,4,9,415
guohtoneana,3,8,361
guohtuneana,0,9,331
guoibmi,64,133,762
guolli,3,3,2767
guorahallan,0,7,733
guossi,1,25,2818
guovlu,44,271,13971
gussa,7,3,434
gáibmi,7,4,82
gáibádus,16,30,2652
gákti,6,17,1833
gálvu,47,34,1217
gánda,32,24,2111
gávpi,7,14,1042
gávpot,4,8,2732
heagga,73,24,775
heahti,1,4,565
heajat,0,8,249
heargi,10,40,2006
hearrá,8,7,315
heasta,11,13,791
historjá,8,46,2066
hoavda,9,42,2017
hommet,0,6,177
hotealla,0,5,1765
hutkkus,0,5,78
hutkáivuohta,1,25,151
hálddahus,0,10,1657
háldu,10,60,526
háliidus,2,10,69
hápmi,8,10,1086
hástalus,4,8,2581
identitehta,8,86,899
idola,0,11,47
iešdovdu,0,15,438
iešvuohta,4,13,214
illu,1,7,2003
institušuvdna,0,5,282
interneahtta,0,7,1266
interneahttasiidu,3,13,346
ipmil,10,2,322
ipmárdus,1,7,759
irgi,12,20,265
isit,54,39,1192
ivdni,3,3,865
jahkedieđáhus,5,3,130
jahkečoahkkin,11,17,1624
jahki,2,38,39453
jearahallanobjeakta,0,6,12
jienastanvuoigatvuohta,5,7,106
jienasteaddji,0,15,730
jierbmi,4,3,218
jierpmálašvuohta,0,5,45
jietna,17,34,2790
joavku,111,132,11494
johka,0,6,1616
journalista,4,9,1798
jođiheaddji,0,19,14895
jođiheapmi,1,4,389
juoigan,2,4,550
juolgi,16,22,950
jurdda,34,84,3485
jurddašanvuohki,0,8,204
jurista,0,6,390
jáhkku,0,7,615
jápmin,1,10,451
kafea,0,5,416
kantuvra,3,32,1419
karrieara,1,8,53
klieanta,0,13,130
klássa,1,10,835
kommentára,3,4,409
konsearta,1,17,3348
konto,0,7,82
konvenšuvdna,2,3,560
kronihkka,2,3,84
kulturmuitu,1,4,342
kulturárbi,9,17,271
kultuvra,83,221,6485
kunddar,4,16,326
kursa,1,5,2280
lagamus,10,112,374
lagamuš,3,18,194
lagasbiras,0,13,121
lahttu,9,14,1653
latnja,2,15,1189
leahkin,0,5,31
leahttu,0,12,656
leaktu,1,6,630
leavga,0,10,669
lieđđi,7,1,410
lihkastat,1,4,96
listu,1,31,3246
loatna,1,6,455
logaldallan,4,12,498
lohkki,1,20,1290
